week, date, website, count, sadness, contempt, disgust, anger, surprise, fear, happiness, neutral
13,10/25/2015,www.bloomberg.com,1,6.85763439e-07,2.56769945e-05,0.00183192745,0.0024965324,4.973141e-05,4.31597442e-07,0.994401157,0.00119386229
13,10/25/2015,www.washingtonpost.com,1,0.0414886624,0.003942537,0.0204901919,0.0328038372,0.0124458279,0.000451545144,0.000354179239,0.8880232
13,10/25/2015,www.politico.com,1,2.57461161e-05,5.95117535e-06,8.386459e-05,7.441673e-06,1.65336914e-07,1.04019184e-08,0.9997269,0.000149932559
13,10/25/2015,www.nationalreview.com,1,0.000142919554,0.00114601292,0.00519271242,0.09959421,0.36518088,0.000240719586,0.0275286641,0.5009739
13,10/25/2015,www.nytimes.com,1,0.0004746332,0.00351205165,0.008046983,0.009156402,0.486633867,0.000395047042,0.020536093,0.471244931
13,10/25/2015,www.nbcnews.com,1,0.0138008306,0.0101125529,0.0298429038,0.08442746,0.09847375,0.0100396574,7.531635e-05,0.753227532
14,11/01/2015,www.cnn.com,2,0.01547960749,0.0081560436,0.005733614655,0.013094193165,0.002629633597,0.00013129952225,0.464037790181,0.4907378273
14,11/01/2015,www.msnbc.com,2,0.002324801175,0.003412546161,0.001308453795,0.0188187301855,0.013584832175,0.0001091334618,0.00142854045,0.95901295
14,11/01/2015,www.cbsnews.com,2,0.01484556405,0.00188941112445,0.004649959188,0.010907493325,0.045153186165,0.0016263152505,0.484149325215,0.43677874095
14,11/01/2015,www.huffingtonpost.com,2,0.01960846635,0.003730829595,0.010606469375,0.00686954540205,0.011810549317,0.000133976438095,0.24595010783,0.7012900685
14,11/01/2015,www.washingtonpost.com,1,0.0008252261,0.00117825053,3.73445473e-05,0.00220053573,0.00152800989,0.0001012902,9.35715143e-05,0.9940358
14,11/01/2015,www.politico.com,1,0.00351298437,0.00151545287,0.006624613,0.05338723,0.07347545,0.000241511239,7.660611e-05,0.8611662
14,11/01/2015,www.nbcnews.com,1,0.00327629875,0.00554217631,0.0133661693,0.012414081,0.005258689,8.855316e-05,0.2994884,0.6605657
15,11/08/2015,www.wsj.com,1,0.0935483649,0.0099746855,0.0112987263,0.03574628,0.007131837,0.000476059446,9.98670657e-05,0.841724157
15,11/08/2015,www.cnn.com,1,0.00325598079,0.01784708,0.000714695838,0.0005067189,0.09222543,0.00104796723,0.40145,0.482952118
15,11/08/2015,www.msnbc.com,1,4.444266e-06,5.5860477e-05,0.000135478753,3.75139484e-06,9.378442e-07,1.70445735e-09,0.988804638,0.0109948982
15,11/08/2015,www.cbsnews.com,2,0.00680881627,0.00783156064,0.00259962032,0.00826163571,0.0056291682555,3.393614461e-05,0.00478553306,0.964049727
15,11/08/2015,www.huffingtonpost.com,3,0.0208015377633,0.0171224058933,0.00541484250433,0.104285620857,0.00557895980193,8.39344276667e-05,0.250340395885,0.596372348333
15,11/08/2015,www.washingtonpost.com,2,0.008371880545,0.00965426265,0.021733820895,0.070951495785,0.043863838,0.0008497395485,0.350623980618,0.4939509815
15,11/08/2015,www.politico.com,2,0.050736904745,0.020998077235,0.00795706236,0.0674118847,0.04304475095,0.000324858869,0.00116103731,0.8083654295
16,11/15/2015,www.wsj.com,1,0.0007711613,0.0009190751,0.0142165655,0.164795324,0.36300382,0.000141406,0.00764363259,0.448509
16,11/15/2015,www.msnbc.com,1,0.005733075,0.0045255404,0.0219729524,0.156439081,0.0439159274,0.0011906093,0.003069616,0.7631532
16,11/15/2015,www.huffingtonpost.com,1,5.49088032e-11,7.04386365e-13,8.470705e-11,4.01470142e-11,2.81233639e-07,4.34847047e-10,0.9999997,8.846633e-10
16,11/15/2015,www.washingtonpost.com,1,0.0003700198,7.344119e-06,1.29685623e-05,0.0002511164,0.00250410079,4.81316965e-05,0.979319632,0.0174866859
16,11/15/2015,www.politico.com,2,0.0013152462325,0.01774316,0.03581334875,0.252703689,0.0138313682,8.0230965e-05,0.000722570345,0.677790403
16,11/15/2015,www.nbcnews.com,1,0.000121637866,0.00220884266,0.000301730935,4.66023957e-05,1.75508249e-05,2.49106819e-07,0.866356254,0.130947128
17,11/22/2015,www.wsj.com,1,3.22529286e-06,8.098949e-08,5.243444e-05,2.03411346e-05,0.00134681666,4.208292e-06,0.998336852,0.000236061343
17,11/22/2015,www.huffingtonpost.com,1,0.0005163992,0.07342047,0.000346889166,0.0004439658,0.000229589117,4.81335564e-06,0.40024507,0.5247928
17,11/22/2015,www.msnbc.com,1,0.01556127,0.00146264851,0.00337852887,0.002602544,0.00583064742,0.0002578652,0.887634158,0.08327231
17,11/22/2015,www.nytimes.com,2,0.0542772795,0.04498449967,0.004427531505,0.002203137375,0.0086084159,0.000332631472,0.345695221,0.5394712655
19,12/06/2015,www.msnbc.com,1,0.0153285619,0.00559011241,0.005738319,0.008630049,0.4703259,0.004086694,0.05737709,0.4329233
19,12/06/2015,www.huffingtonpost.com,2,0.02406714924,0.137713575,0.00687275887,0.02775661435,0.0018601130275,4.145897125e-05,0.013965017,0.787723303
19,12/06/2015,www.washingtonpost.com,2,0.011278274,0.00109415443,0.0004450085255,0.0016343729785,0.0026628586425,0.0004015185251,0.126487866606,0.8559959295
19,12/06/2015,www.politico.com,1,0.05153564,0.00574839069,0.0162003171,0.0915977657,0.0180393532,0.00472144037,0.000339683465,0.8118174
19,12/06/2015,www.foxnews.com,1,0.07507486,0.138933152,0.0116236918,0.0195351653,0.000696494943,6.947906e-05,0.0101043973,0.743962765
19,12/06/2015,www.nbcnews.com,2,0.000886557482145,0.002949203122,0.0025596809887,0.013036700785,0.00066923095655,2.04910221745e-06,0.4987096355,0.48118695413
20,12/13/2015,www.wsj.com,1,0.182912976,0.00369867,0.00699610729,0.010775283,0.00248814281,0.000445269776,0.00283813872,0.7898454
20,12/13/2015,www.cnn.com,1,0.00341097638,0.003700511,0.00208228617,0.01375729,0.003907356,6.897468e-05,0.000426434854,0.9726462
20,12/13/2015,www.msnbc.com,2,0.0472176522,0.01294081383,0.005470171325,0.01675629123,0.0006837354575,0.0001934290405,0.035088562655,0.8816493455
20,12/13/2015,www.huffingtonpost.com,1,0.00260705128,0.00276044174,0.0134715689,0.0621379949,0.14731738,0.00101676956,0.00292251981,0.7677663
20,12/13/2015,www.politico.com,3,0.00436901352289,0.00125827240242,0.0159527302573,0.236031296933,0.138955029355,0.00284390228867,0.33382877404,0.266760988131
20,12/13/2015,www.nationalreview.com,1,1.38688392e-06,0.0004627455,2.577886e-08,8.101662e-08,2.74592544e-08,1.91703511e-11,0.111820661,0.887715042
20,12/13/2015,www.nbcnews.com,2,0.01117179462,0.0008451124,0.00680019152,0.00917200116,0.18121639407,0.000102125333,0.00025229457,0.7904401
21,12/20/2015,www.washingtonpost.com,1,0.0007558882,0.0007683293,3.12896955e-05,0.00358914374,0.000179799623,4.24682366e-05,5.72993758e-06,0.994627357
21,12/20/2015,www.huffingtonpost.com,3,0.0152941865783,0.000860588334667,0.00106051046667,0.00161071418073,0.00284886046867,0.00070768196875,0.609345283147,0.368272160967
21,12/20/2015,www.cnn.com,2,0.024399509885,0.0005006452665,0.000954640241,0.01677445765,0.006888158315,0.000369024929,2.858998045e-05,0.9500849715
21,12/20/2015,www.cbsnews.com,2,0.00200230989,0.00192637421,0.012090728075,0.024317013895,0.056527862,0.000609771859,0.00204160402,0.90048435
22,12/27/2015,www.wsj.com,1,0.2376944,0.009335876,0.0124505125,0.01907427,0.07203568,0.03980856,0.00129283161,0.6083079
22,12/27/2015,www.cnn.com,1,0.000922931242,0.00128290628,7.663502e-05,0.0007263485,1.19821443e-05,4.33204264e-07,0.000178699775,0.996800065
22,12/27/2015,www.huffingtonpost.com,2,0.00268468377,0.001028167285,0.0153699368,0.0536857761,0.01341482855,4.9105985e-05,0.0006868926855,0.9130806
22,12/27/2015,www.bloomberg.com,1,0.0110276276,0.00252752379,0.00145254808,0.00275397673,0.011617532,0.000358227582,0.0617538467,0.9085087
22,12/27/2015,www.washingtonpost.com,1,0.00167605013,0.000453185028,0.0205622744,0.184791341,0.0341621377,4.03873564e-05,0.6458974,0.112417214
22,12/27/2015,www.politico.com,1,0.0287517,0.001939932,0.0106999818,0.0277451463,0.00270403782,0.000156621245,0.000222165938,0.9277804
22,12/27/2015,www.nytimes.com,1,0.00148929784,0.0064882203,0.0137712657,0.008922682,0.0003851914,5.28864939e-06,0.0132419663,0.9556961
23,01/03/2016,www.wsj.com,2,0.0003893076838,0.00284720007702,0.006605810545,0.119678923581,0.04817254851,0.00028753199794,0.5000484314,0.321970255658
23,01/03/2016,www.cnn.com,2,0.001979400136,0.00035905816,0.000775458115,0.01532840645,0.0004076154237,1.284076985e-05,0.001295841796,0.97984137
23,01/03/2016,www.msnbc.com,4,0.003335106555,0.0156138985,0.02549672415,0.11497255875,0.0290766375075,0.000954227567,0.10792854869,0.70262231375
23,01/03/2016,www.cbsnews.com,2,0.010213761,0.00483706081,0.0207806309,0.03374843741,0.02950337745,0.0003190727875,0.17338940723,0.72720825
23,01/03/2016,www.huffingtonpost.com,2,0.00287237625,0.00747151371,0.009891719715,0.023035530245,0.075475835,8.661426565e-05,0.00531063715,0.875855785
23,01/03/2016,www.bloomberg.com,4,0.0229294860417,0.00932168236725,0.00097063759505,0.00298850209275,0.0003424810298,2.80570437047e-05,0.113311854359,0.8501072985
23,01/03/2016,www.washingtonpost.com,1,0.007745544,0.000297058636,0.00319740246,0.00374845555,0.246446848,0.00290593668,0.000135883311,0.735522866
23,01/03/2016,www.politico.com,3,0.010302868858,0.00141079129837,0.00227128714667,0.018399010765,0.00397864836067,0.00196439250486,0.336222602574,0.625450392257
23,01/03/2016,www.investors.com,2,0.0114301930735,0.00262580095,0.01133057935,0.0452772912,0.00347969945195,0.00023939499605,0.4526534995,0.472963565
23,01/03/2016,www.nytimes.com,2,0.00108699153785,0.000787463518,0.00011307594769,0.0010840719572,4.646669326e-05,3.5548594165e-06,0.49994996135,0.496928391062
23,01/03/2016,www.nbcnews.com,2,0.00062327711546,0.00126902980529,0.00019390711163,4.600195145e-05,0.000967331881759,1.72637298811e-05,0.771847379,0.225035825382
